innovation,size,sector,man_exp,training,state,age
Not innovative,Small ,Manufacturing,58,not provided,Kelantan,59
Innovative,Medium ,Manufacturing,30,provided,Sarawak,36
Innovative,Medium ,Manufacturing,,not provided,Sarawak,13
Innovative,Small ,Other services,19,not provided,Pahang,19
Not innovative,Small ,Other services,30,provided,Pahang,8
Innovative,Large ,Other services,2,provided,Penang,13
Innovative,Medium ,Other services,30,not provided,Sarawak,23
Innovative,Medium ,Other services,25,not provided,Selangor,24
Innovative,Small ,Other services,20,not provided,Terengganu,21
Innovative,Medium ,Manufacturing,28,not provided,Johor,29
Innovative,Medium ,Manufacturing,30,not provided,Johor,31
Innovative,Medium ,Manufacturing,20,not provided,Johor,25
Innovative,Medium ,Manufacturing,20,provided,Johor,26
Innovative,Medium ,Manufacturing,20,not provided,Melaka,44
Innovative,Medium ,Manufacturing,56,not provided,Perak,26
Not innovative,Small ,Manufacturing,40,not provided,Perak,51
Not innovative,Large ,Manufacturing,15,not provided,Penang,16
Innovative,Medium ,Manufacturing,38,not provided,Penang,37
Innovative,Medium ,Manufacturing,20,not provided,Penang,29
Innovative,Medium ,Manufacturing,24,provided,Penang,25
